,A,B,C,Radius ratio,Edge ratio,Circumradius to half perimeter,Aspect ratio,Circumradius to edge,longest,areas,min_angle,max_angle
0,1069,1647,1578,1.2132964543244165,1.5395780538781814,1.0753939457039325,1.4009313220618165,1.0000447894620073,0.0067896760898440425,11.18212716232133,0.70692604347731,1.5613318891122403
1,1058,909,939,1.0129266536897081,1.136950765021297,1.0043594732886056,1.076451692013697,1.0865577721989566,0.004715351364946212,8.165607725932212,0.9432640187203173,1.1689428270110769
2,421,1176,238,6.737248062266594,1.9379774428694212,2.4070346204016064,4.115855134028642,1.8901306560513365,0.009324588618116077,6.0617785360946765,0.2765080305675952,2.584095537913394
3,1055,1101,1042,1.3833276931937526,1.7362392890929856,1.1320791138230066,1.5818671072109605,1.009774604203039,0.009770267970414115,19.66898352366261,0.6069711147863922,1.710048929141327
4,238,1059,1126,1.0007135215714988,1.0307304216073392,1.0002360291170715,1.0135644774657206,1.1400601222837219,0.005524576269009237,12.541893888240894,1.017877537822517,1.0698879956091623
5,1254,30,1261,1.0504120746651726,1.2991292445476825,1.0151576715903212,1.1387382281308207,1.0651362694013284,0.004717862988440848,7.49427656594316,0.807663321132116,1.219266409331381
6,1065,1071,1,1.021774952498818,1.1870133994243548,1.0070429311337088,1.0931827650027441,1.0792743222125878,0.006758716752476019,16.36480637044885,0.895579148923999,1.185131366789138
7,1037,1130,1120,5.72232761150136,2.2140791039290084,2.2010471163584464,3.8081766542423034,1.7351019592072374,0.007452941757728956,4.201702748272262,0.26333767980927053,2.5273558361003157
8,1570,2381,1585,1.14601986384666,1.5253008331318598,1.0469966493334828,1.3111973914379231,1.009237634560765,0.007758687513478036,16.171409903492098,0.7070681080740672,1.43539264095424
9,2434,2502,2473,1.5067404428195965,1.9990017803725946,1.157062941227876,1.7121196710146138,1.0161871450787916,0.006065620741037138,6.896430998741262,0.5147084045163518,1.7495238637890924
